x,y,yaw
5.294218181501918252e+00,1.478445005763170117e-01,-1.437916054026963986e+00
5.312993696327591664e+00,7.864445816462617422e-03,-1.438598707689247025e+00
5.331769211153265076e+00,-1.321156089433926928e-01,-1.439281361351530064e+00
5.350544725978937599e+00,-2.720956637032481140e-01,-1.439964015013813103e+00
5.368217311192059249e+00,-4.092214319832651603e-01,-1.442091284517626582e+00
5.384831083977130284e+00,-5.436070852426385658e-01,-1.445605385229309370e+00
5.401444856762202207e+00,-6.779927385020138031e-01,-1.449119485940992158e+00
5.418058629547274130e+00,-8.123783917613871530e-01,-1.452633586652675168e+00
5.434672402332346053e+00,-9.467640450207606140e-01,-1.456147687364357957e+00
5.449305925048399502e+00,-1.077813794350625409e+00,-1.461274508392958804e+00
5.461700904208171892e+00,-1.205092521847129339e+00,-1.468224404562423757e+00
5.474095883367944282e+00,-1.332371249343633268e+00,-1.475174300731888488e+00
5.486490862527716672e+00,-1.459649976840138752e+00,-1.482124196901353441e+00
5.498885841687489062e+00,-1.586928704336642681e+00,-1.489074093070818394e+00
5.508591172900119126e+00,-1.710513381822322376e+00,-1.497941781662031735e+00
5.514710306849893051e+00,-1.829172659293569536e+00,-1.509366526815576481e+00
5.520829440799666976e+00,-1.947831936764818472e+00,-1.520791271969121450e+00
5.526948574749440901e+00,-2.066491214236065410e+00,-1.532216017122666196e+00
5.533067708699214826e+00,-2.185150491707312792e+00,-1.543640762276210943e+00
5.535955719402066322e+00,-2.299881044454781254e+00,-1.557457262514191143e+00
5.533741956557144626e+00,-2.408408347638384850e+00,-1.575050218148647874e+00
5.531528193712222929e+00,-2.516935650821988446e+00,-1.592643173783104382e+00
5.529314430867301233e+00,-2.625462954005593819e+00,-1.610236129417561335e+00
5.527100668022379537e+00,-2.733990257189197415e+00,-1.627829085052017843e+00
5.521282229209096393e+00,-2.838477632304422738e+00,-1.648460639761657021e+00
5.508678517984780143e+00,-2.935360436937997086e+00,-1.674811910377522084e+00
5.496074806760464782e+00,-3.032243241571569659e+00,-1.701163180993386925e+00
5.483471095536148532e+00,-3.129126046205142231e+00,-1.727514451609251545e+00
5.470867384311833170e+00,-3.226008850838716580e+00,-1.753865722225116830e+00
5.454453366976060202e+00,-3.318863995427671298e+00,-1.783914534012126074e+00
5.429402655787652243e+00,-3.402589777248825609e+00,-1.822344439120396231e+00
5.404351944599243396e+00,-3.486315559069981251e+00,-1.860774344228667054e+00
5.379301233410835437e+00,-3.570041340891135562e+00,-1.899204249336937211e+00
5.354250522222427477e+00,-3.653767122712289872e+00,-1.937634154445207590e+00
5.325351797357809502e+00,-3.733600983880944746e+00,-1.979801984725563679e+00
5.285797034620610013e+00,-3.802657218627294444e+00,-2.032320992405542981e+00
5.246242271883410524e+00,-3.871713453373643699e+00,-2.084840000085521616e+00
5.206687509146211923e+00,-3.940769688119992509e+00,-2.137359007765500252e+00
5.167132746409012434e+00,-4.009825922866342651e+00,-2.189878015445479331e+00
5.123860185009193380e+00,-4.075249447720667995e+00,-2.244571520989638636e+00
5.067744319138505205e+00,-4.128123611129824511e+00,-2.306776928246419889e+00
5.011628453267816141e+00,-4.180997774538981027e+00,-2.368982335503202474e+00
4.955512587397128854e+00,-4.233871937948136654e+00,-2.431187742759984172e+00
4.899396721526440679e+00,-4.286746101357292282e+00,-2.493393150016765425e+00
4.839861234110769850e+00,-4.336370268301029007e+00,-2.555155074098325318e+00
4.765127428717404356e+00,-4.371550006509564490e+00,-2.614945961845561051e+00
4.690393623324038863e+00,-4.406729744718100861e+00,-2.674736849592797228e+00
4.615659817930673370e+00,-4.441909482926637232e+00,-2.734527737340032960e+00
4.540926012537306988e+00,-4.477089221135173602e+00,-2.794318625087269581e+00
4.463460949993976357e+00,-4.509701144252932004e+00,-2.851360813251987647e+00
4.369608344550861112e+00,-4.526906176826022588e+00,-2.891910803921597495e+00
4.275755739107744979e+00,-4.544111209399114060e+00,-2.932460794591208231e+00
4.181903133664629735e+00,-4.561316241972205532e+00,-2.973010785260818079e+00
4.088050528221514490e+00,-4.578521274545296116e+00,-3.013560775930428370e+00
3.992735451830661919e+00,-4.594290775376894231e+00,-3.052238055614440615e+00
3.884550631099739526e+00,-4.597427596883355783e+00,-3.074435478625189067e+00
3.776365810368817133e+00,-4.600564418389817334e+00,-3.096632901635937518e+00
3.668180989637892964e+00,-4.603701239896277997e+00,-3.118830324646685970e+00
3.559996168906971015e+00,-4.606838061402739548e+00,-3.141027747657434421e+00
3.451295620870805880e+00,-4.609407135196175176e+00,-3.162555642746927020e+00
3.334687254154254266e+00,-4.603270744056541020e+00,-3.173817443043832842e+00
3.218078887437704871e+00,-4.597134352916907751e+00,-3.185079243340738664e+00
3.101470520721155033e+00,-4.590997961777273595e+00,-3.196341043637644486e+00
2.984862154004603418e+00,-4.584861570637640327e+00,-3.207602843934550307e+00
2.868202463274105884e+00,-4.578633787370954167e+00,-3.218706578806646235e+00
2.749079219874110525e+00,-4.568019182005762069e+00,-3.222223173287872999e+00
2.629955976474115609e+00,-4.557404576640569971e+00,-3.225739767769100208e+00
2.510832733074120693e+00,-4.546789971275377873e+00,-3.229256362250326973e+00
2.391709489674124001e+00,-4.536175365910184887e+00,-3.232772956731554181e+00
2.272586246274126864e+00,-4.525560760544992789e+00,-3.236289551212780946e+00
2.156585196943156646e+00,-4.515135453954700395e+00,-3.233742468262065906e+00
2.040649193321954602e+00,-4.504714091088883876e+00,-3.231069058698185170e+00
1.924713189700752558e+00,-4.494292728223068245e+00,-3.228395649134304435e+00
1.808777186079553623e+00,-4.483871365357252614e+00,-3.225722239570423699e+00
1.692841182458351579e+00,-4.473450002491436983e+00,-3.223048830006542964e+00
